"pair","convergence","sigma_ide","sigma_pe_1","sigma_pe_2","sigma_res_1","sigma_res_c","sigma_res_2","sigma_ped_1","sigma_ped_c","sigma_ped_2","h2_1","h2_1_se","h2_2","h2_2_se","rg","rg_se","re","re_se","rp","rp_se","h2_1_check","h2_2_check","rg_check","re_check","rp_check","check_agree_rg","check_agree_rp"
"ch4rmtmbwco2_co2_cg_het","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4rmtmbwco2_co2_cg_het_scale","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4rmtmbwco2_mbw","CONVERGED",2.53255,2.53255,1.90568,9.58427,0.102464,0.957689,2.77646,-0.264782,2.21129,0.1864,0.0196,0.4358,0.0264,-0.1069,0.0411,0.0338,0.0119,-0.0187,0.0114,0.186423675644317,0.435751446550399,-0.106861163079704,0.0338204620393161,-0.0186710212586051,TRUE,FALSE
"ch4rmtmbwco2_mbw_cg_het","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4rmtmbwco2_mbw_cg_het_scale","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4rumen_ch4lw","UNKNOWN",0,0,0.000518125,0.018089,-0.00403407,0.00293788,326386000,20520100,3968600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999999944578,0.999999999129163,0.570157770982344,-0.553374476536449,0.570157770606199,NA,NA
"ch4rumen_ch4rmtadg","CONVERGED",0,0,0,0.279467,0.713681,6.16794,0.0832672,0.330814,2.44485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229554312772272,0.283862720442505,0.733197187952239,0.543586669944544,0.590935640582407,NA,NA
"ch4rumen_ch4rmtmbw","UNKNOWN",0,0,1.59226,0.192823,0.606471,9.59482,0.0193721,0.0621606,0.986424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0912938140418888,0.0810304083360058,0.449671156803712,0.445874058370487,0.416017328613594,NA,NA
"ch4rumen_ch4rmtmbwco2","CONVERGED",0.0871202,0.0871202,2.54712,0.22511,1.25616,9.58449,0.143503,0.41643,2.75918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.314883796045581,0.18529440009563,0.661791983491917,0.855190881859171,0.642059524002791,NA,NA
"ch4rumen_rumen","CONVERGED",0,0,0.106132,0.248275,-0.265157,0.767974,0.142921,-0.0216275,0.167443,0.3653,0.105,0.1608,0.0945,-0.1398,0.2997,-0.6072,0.0831,-0.4493,0.0321,0.365343715170912,0.160763439838164,-0.139805674570223,-0.607244154570829,-0.449281585996522,TRUE,TRUE
